Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat_max,long_max,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,Realm,REF_max,citation_details_or_paper_in_which_data_were_compiled,notes.2017,NM_1cm_airshade,NM_2m_airshade,NM_exposed_bodytemp,NM_exposed_air,NM_exposed_body_wet,NM_shade_body_wet,NMGHCND_2m_airshade,NMGHCND_exposed_Te,NMGHCND_exposed_Te_wet,NMGHCND_2m_airshade95,NMGHCND_exposed_Te95,NMGHCND_exposed_Te_wet95,NMGHCND_shade_Te_wet,NMGHCND_shade_Te_wet95
Trematomus,bernacchii,leth,-1.9,90,field_fresh,,6,-77.75,165,,0,Chordata,Actinopterygii,Perciformes,Nototheniidae,Marine,Somero_and_DeVries_1967_in_Brett_1970,Sunday_et_al_PRSB_2011,"Acclimated in lab for """"""""less than 1 week"""""""" to match field conditions exactly; so technically field fresh + lab; but closer to field fresh. Removed tmin - these were inferred based on ice crystal formation but there was no sign of physiological distress. Corrected tmax to match author's conclusions about upper incipient lethal temperature (LT50 at 1 week).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trematomus,borchgrevinki,leth,-1.9,90,field_fresh,,6,-77.75,165,,0,Chordata,Actinopterygii,Perciformes,Nototheniidae,Marine,Somero_and_DeVries_1967_in_Brett_1970,Sunday_et_al_PRSB_2011,"Acclimated in lab for """"""""less than 1 week"""""""" to match field conditions exactly; so technically field fresh + lab; but closer to field fresh. Removed tmin - these were inferred based on ice crystal formation but there was no sign of physiological distress. Corrected tmax to match author's conclusions about upper incipient lethal temperature (LT50 at 1 week).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trematomus,hansoni,leth,-1.9,90,field_fresh,,6,-77.75,165,,0,Chordata,Actinopterygii,Perciformes,Nototheniidae,Marine,Somero_and_DeVries_1967_in_Brett_1970,Sunday_et_al_PRSB_2011,"Acclimated in lab for """"""""less than 1 week"""""""" to match field conditions exactly; so technically field fresh + lab; but closer to field fresh. Removed tmin - these were inferred based on ice crystal formation but there was no sign of physiological distress. Corrected tmax to match author's conclusions about upper incipient lethal temperature (LT50 at 1 week).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eudorella,splendida,leth,-1.8,90,field_fresh,,15,-77.8,166.67,,0,Arthropoda,Malacostraca,Cumacea,Leuconidae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterophoxus,videns,leth,-1.8,90,field_fresh,,13,-77.8,166.67,,0,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Margarites,refulgens,leth,-1.8,90,field_fresh,,19,-77.8,166.67,,0,Mollusca,Gastropoda,Archaeogastropoda,Trochidae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphon,sp.,leth,-1.8,90,field_fresh,,20,-77.8,166.67,,0,Arthropoda,Pycnogonida,Pantopoda,Nymphonidae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Onoba,gelida,leth,-1.8,90,field_fresh,,14,-77.8,166.67,,0,Mollusca,Gastropoda,Neotaenioglossa,Rissoidae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orchomene,pinguides,leth,-1.8,90,field_fresh,,12,-77.8,166.67,,0,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paramoera,walkeri,leth,-1.8,90,field_fresh,,15.02,-77.8,166.67,,0,Arthropoda,Malacostraca,Amphipoda,Eusiridae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philomedidae,sp.,leth,-1.8,90,field_fresh,,14,-77.8,166.67,,0,Arthropoda,Malacostraca,Myodocopida,Philomedidae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cnemidocarpa,bicornuta,crit,13,90,field_fresh,,29,-45.4,167.1,,0,Chordata,Ascidiacea,Stolidobranchia,Styelidae,Marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liothyrella,neozelanica,crit,13,90,field_fresh,,29.4,-45.4,167.1,,0,Brachiopoda,Rhynchonellata,Terebratulida,Terebratulidae,Marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudechinus,huttoni,crit,13,90,field_fresh,,26.8,-45.4,167.1,,0,Echinodermata,Echinoidea,Temnopleuroida,Temnopleuridae,Marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptopygus,cisantarcticus,crit,3,90,field_fresh,summer,31.6,-71.68333333,170,Antarctica,0,Arthropoda,Entognatha,Collembola,Isotomidae,Terrestrial,Sinclair_et_al._2006,Sunday_et_al_PRSB_2011,citation year has been corrected; acclimation data added; field temp data from Fig 8; Dec 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Friesea,grisea,crit,7,90,field_fresh,summer,35.1,-71.68333333,170,Antarctica,0,Arthropoda,Entognatha,Collembola,Isotomidae,Terrestrial,Sinclair_et_al._2006,Sunday_et_al_PRSB_2011,citation year has been corrected; acclimation data added; field temp data from Fig 8; Dec 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isotoma,klovstadi,crit,5,90,field_fresh,summer,34.5,-71.68333333,170,Antarctica,0,Arthropoda,Entognatha,Collembola,Isotomidae,Terrestrial,Sinclair_et_al._2006,Sunday_et_al_PRSB_2011,field temp data from Fig 8; Dec 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cookia,sulcata,crit,16,90,field_fresh,,32.7,-45.8,170.6,,0,Mollusca,Gastropoda,Vetigastropoda,Turbinidae,Marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ophioneries,fasciata,crit,16,90,field_fresh,,31.8,-45.8,170.6,,0,Echinodermata,Ophiuroidea,Ophiurida,Ophionereidae,Marine,Morley_et_al2016,Journal_of_the_Marine_Biological_Association_of_the_United_Kingdom_2016_96(1)_159_165,added acclimation; some more species from antarctica could be added,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paraleptognathia,antarctica,leth,-1.8,90,field_fresh,,10,-77.8,166.67,,0,Arthropoda,Malacostraca,Tanaidacea,Anarthruridae,Marine,Bates_et_al_2010,Sunday_et_al_PRSB_2011,added acclimation temp based on reported field temperature of field-fresh specimen. Removed cold tolerance as it was artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathygobius,sp1,crit,38,14,lab,,43,-5.45,124,,0,Chordata,Actinopterygii,Perciformes,Gobiidae,Marine,Eme_and_Bennett_2009,Sunday_et_al_PRSB_2011,added acclimation temperatures and corrected citation year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidonotothen,nudifrons,leth,0,7,lab,,9,-67.068412,-68.872108,,0,Chordata,Actinopterygii,Perciformes,Nototheniidae,Marine,Hardewig_et_al_1999,Sunday_et_al_PRSB_2011,added acclimation temperature. removed cold tolerance as artificial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prinerigone,vagans,crit,15,7,,,35.9,-46.9,37.7,Marion,88,Arthropoda,Arachnida,Araneae,Linyphiidae,Terrestrial,Jumbam_et_al_2008,Sunday_et_al_PRSB_2011,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spodoptera,exempta,crit,27,NA,,,55.94,-25.629883,28.238452,,1282,Arthropoda,Insecta,Lepidoptera,Noctuidae,Terrestrial,Klok_and_Chown_1998a,Sunday_et_al_PRSB_2011,,31.95585442,29.66436768,62.65512848,49.17808151,34.29391479,21.40068626,37.15353394,65.99897766,36.46837616,28.496521,57.51456318,31.7308465,27.69754982,21.47069063
Embryonopsis,halticella,crit,15,7,,,39.7,-46.9,37.7,Marion,NA,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Terrestrial,Klok_and_Chown_1998b,Sunday_et_al_PRSB_2011,acc data on p.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drosophila,albomicans,leth,21,20,,,33,28.275118,129.362702,,50,Arthropoda,Insecta,Diptera,Drosophilidae,Terrestrial,Ohtsu_et_al._1999,Sunday_et_al_PRSB_2011,acclimation added,31.94147491,30.67803955,52.24712753,42.81067657,34.6704483,25.90250969,33.73974609,53.5232811,36.02911377,28.68707733,46.9082716,29.60105753,29.25659561,25.28655396
Drosophila,curviceps,leth,21,20,,,30,36.5,138.5,,1600,Arthropoda,Insecta,Diptera,Drosophilidae,Terrestrial,Ohtsu_et_al._1999,Sunday_et_al_PRSB_2011,acclimation added,25.01073647,24.32788086,45.82678986,36.54508591,29.56221962,19.53894997,34.45153809,53.03287125,34.93108749,20.64300537,37.52956772,23.70068293,29.0752964,17.82829475
Drosophila,immigrans,leth,21,20,,,31.5,43,141.3,,NA,Arthropoda,Insecta,Diptera,Drosophilidae,Terrestrial,Ohtsu_et_al._1999,Sunday_et_al_PRSB_2011,acclimation added,23.22575951,22.51242065,40.54323959,32.49460602,27.85939026,18.31367111,30.3079834,46.16917801,32.04581451,19.25195313,35.04474049,22.36408548,25.99803162,16.64746342
Pringleophaga,marioni,crit,10,NA,,,38.7,-46.8,37.7,Marion,99,Arthropoda,Insecta,Lepidoptera,Tineidae,Terrestrial,vanderMerwe_1997,Sunday_et_al_PRSB_2011,,27.72527504,26.42715454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phronima,sedentaria,leth,23,1,lab,,29,8.5,-90,,0,Arthropoda,Malacostraca,Amphipoda,Phronimidae ,marine,Elder_and_Siebel_2015,Comparative_Biochemistry_and_Physiology_Part_A_187_2015_20–26,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
